Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Total
2011,"Syrian Arab Rep.",SYR,-,-,600000
2012,"Syrian Arab Rep.",SYR,-,-,3000000
2013,"Syrian Arab Rep.",SYR,-,-,6500000
2014,"Syrian Arab Rep.",SYR,-,-,7600000
2015,"Syrian Arab Rep.",SYR,-,-,6600000
2016,"Syrian Arab Rep.",SYR,-,-,6326000
2017,"Syrian Arab Rep.",SYR,-,-,6784000
2018,"Syrian Arab Rep.",SYR,-,-,6119000
2019,"Syrian Arab Rep.",SYR,-,-,6495000
2020,"Syrian Arab Rep.",SYR,-,-,6568000
2021,"Syrian Arab Rep.",SYR,-,-,6800000
