,Governorate,2012,2014,2016,2017,2018,2019,2020,2021
0,Aleppo,52500.0,1300000,821865,642694,494190,437874.0,726072.0,195433.0
1,Al-Hasakeh,,510000,59506,297408,32016,136773.0,15087.0,13654.0
2,Ar-Raqqa,500000.0,170000,65314,491081,22490,58101.0,6178.0,817.0
3,As-Sweida,24000.0,73000,12833,3809,12661,362.0,998.0,
4,Damascus,,440000,24579,47053,7479,2409.0,1311.0,398.0
5,Dar'a,,170000,226843,125605,130256,,1161.0,43055.0
6,Deir-ez-Zor,,390000,42814,253366,26304,51558.0,14576.0,3127.0
7,Hama,1000.0,350000,146246,105067,15029,2412.0,4506.0,2470.0
8,Homs,250000.0,560000,63188,25241,4511,13385.0,2426.0,1348.0
9,Idleb,21000.0,990000,529168,639321,685891,1095958.0,1029661.0,176305.0
10,Lattakia,,760000,15702,16528,18365,16703.0,11386.0,11020.0
11,Quneitra,,39000,7232,21801,24787,39.0,,
12,Rural Damascus,400000.0,1400000,118854,113783,148844,2602.0,323.0,1367.0
13,Tartous,,200000,14354,14310,11161,9754.0,8288.0,6870.0
